,Zona,termino,menciones
451,Cinco Esquinas,Pan de especias,0
452,Cinco Esquinas,Pan de olores,0
453,Cinco Esquinas,Pan de piña y coco,0
454,Cinco Esquinas,Pan de piña y coco de Quepos,0
455,Cinco Esquinas,Pan de yuca,0
456,Cinco Esquinas,Pan de zanahoria,0
457,Cinco Esquinas,pan dulce,0
458,Cinco Esquinas,Pan dulce casero,0
459,Cinco Esquinas,pan nica,0
460,Cinco Esquinas,pan pañuelo,0
461,Cinco Esquinas,pan quesadilla,0
462,Cinco Esquinas,Pan relleno casero,0
463,Cinco Esquinas,Pan tanelas,0
464,Cinco Esquinas,pan trenza,0
465,Cinco Esquinas,panuchos,0
466,Cinco Esquinas,Pañuelos,0
467,Cinco Esquinas,papas,3
468,Cinco Esquinas,papas con queso,0
469,Cinco Esquinas,papas fritas,1
470,Cinco Esquinas,Papas rellenas,0
471,Cinco Esquinas,papicarne,0
472,Cinco Esquinas,Papín,0
473,Cinco Esquinas,Pargo frito,0
474,Cinco Esquinas,Pargo frito con salsa de camarones y coco,0
475,Cinco Esquinas,parrilla,1
476,Cinco Esquinas,parrilladas,1
477,Cinco Esquinas,Pasión de maní,0
478,Cinco Esquinas,pasta,1
479,Cinco Esquinas,pastel burrito,0
480,Cinco Esquinas,pastel de carne,0
481,Cinco Esquinas,Pastel de palmito,0
482,Cinco Esquinas,pastel de papa,0
483,Cinco Esquinas,pastel de pizza,0
484,Cinco Esquinas,pastel de pollo,0
485,Cinco Esquinas,pastel gotzila,0
486,Cinco Esquinas,pastel pizza,0
487,Cinco Esquinas,pastel pizzero,0
488,Cinco Esquinas,pasteles,0
489,Cinco Esquinas,patacón con salsas,0
490,Cinco Esquinas,Patacones,0
491,Cinco Esquinas,patacones con carne,0
492,Cinco Esquinas,patí,0
493,Cinco Esquinas,patocón con carne,0
494,Cinco Esquinas,pejibaye,0
495,Cinco Esquinas,pejibaye cocinado,0
496,Cinco Esquinas,pejibaye con mayonesa,0
497,Cinco Esquinas,pescaburguesa,0
498,Cinco Esquinas,pescado,0
499,Cinco Esquinas,Pescado a la milanesa,0
500,Cinco Esquinas,Pescado ahumado,0
501,Cinco Esquinas,Pescado ahumado con salsa de maracuyá,0
502,Cinco Esquinas,Pescado al ajillo,0
503,Cinco Esquinas,Pescado empanizado,0
504,Cinco Esquinas,Pescado en salsa,0
505,Cinco Esquinas,pescado entero,0
506,Cinco Esquinas,Pescado entero frito,0
507,Cinco Esquinas,Pescado frito,0
508,Cinco Esquinas,Pescado frito con ensalada y patacones,0
509,Cinco Esquinas,Pescado frito entero,0
510,Cinco Esquinas,Pescado relleno,0
511,Cinco Esquinas,Pescado relleno de mariscos,0
512,Cinco Esquinas,Piangua,0
513,Cinco Esquinas,pianguas al ajillo,0
514,Cinco Esquinas,picadillo,0
515,Cinco Esquinas,Picadillo de arracache,0
516,Cinco Esquinas,Picadillo de arracache con chicasquil,0
517,Cinco Esquinas,Picadillo de bambú,0
518,Cinco Esquinas,Picadillo de banano,0
519,Cinco Esquinas,Picadillo de cáscaras de plátano,0
520,Cinco Esquinas,Picadillo de castañas,0
521,Cinco Esquinas,Picadillo de castañas en tortillas de zorrillo,0
522,Cinco Esquinas,picadillo de chayote,0
523,Cinco Esquinas,Picadillo de chayote con elotes,0
524,Cinco Esquinas,Picadillo de chicasquil,0
525,Cinco Esquinas,Picadillo de chicasquil dietético,0
526,Cinco Esquinas,Picadillo de chicasquil mixto,0
527,Cinco Esquinas,Picadillo de fiesta,0
528,Cinco Esquinas,Picadillo de fiesta (papa),0
529,Cinco Esquinas,Picadillo de guineo con carne,0
530,Cinco Esquinas,Picadillo de hojas de yuca,0
531,Cinco Esquinas,Picadillo de palmito,0
532,Cinco Esquinas,Picadillo de palmito con huevo,0
533,Cinco Esquinas,Picadillo de palmito maquenque,0
534,Cinco Esquinas,Picadillo de papa,0
535,Cinco Esquinas,Picadillo de papa con carne,0
536,Cinco Esquinas,Picadillo de papa con zorrillo,0
537,Cinco Esquinas,Picadillo de papas y zanahoria,0
538,Cinco Esquinas,Picadillo de papaya,0
539,Cinco Esquinas,Picadillo de papaya “Doña Jacinta”,0
540,Cinco Esquinas,Picadillo de papaya a la leña,0
541,Cinco Esquinas,Picadillo de papaya con carne y chicasquil y tortilla palmeada,0
542,Cinco Esquinas,Picadillo de papaya con cerdo,0
543,Cinco Esquinas,Picadillo de papaya con chicasquil,0
544,Cinco Esquinas,Picadillo de papaya con zorrillo,0
545,Cinco Esquinas,Picadillo de papaya con zorrillo y pellejo de cerdo,0
546,Cinco Esquinas,Picadillo de papaya con zorrillo y tocino,0
547,Cinco Esquinas,Picadillo de papaya verde,0
548,Cinco Esquinas,Picadillo de papaya y zorrillo,0
549,Cinco Esquinas,picadillo de picante,0
550,Cinco Esquinas,Picadillo de plátano,0
551,Cinco Esquinas,Picadillo de plátano con cáscara,0
552,Cinco Esquinas,Picadillo de plátano con chorizo,0
553,Cinco Esquinas,Picadillo de plátano con zorrillo,0
554,Cinco Esquinas,Picadillo de plátano verde,0
555,Cinco Esquinas,Picadillo de turno,0
556,Cinco Esquinas,Picadillo de verdolaga,0
557,Cinco Esquinas,Picadillo de zorrillo con papa,0
558,Cinco Esquinas,Picadillo de zorrillo con papas y tocino,0
559,Cinco Esquinas,Picadillo del novio,0
560,Cinco Esquinas,Picadillo mixto de papaya,0
561,Cinco Esquinas,Picadillos de rábano con carne y de papaya verde,0
562,Cinco Esquinas,Picadillos de vainicas,0
563,Cinco Esquinas,pico de gallo,2
564,Cinco Esquinas,pinchos de camarón,0
565,Cinco Esquinas,pinchos de carne,0
566,Cinco Esquinas,Pinchos de mariscos ,0
567,Cinco Esquinas,Pinchos de pescado,0
568,Cinco Esquinas,pinchos de pollo,0
569,Cinco Esquinas,pinolillo,0
570,Cinco Esquinas,Pinto,0
571,Cinco Esquinas,pinto burrito,0
572,Cinco Esquinas,pintortilla,0
573,Cinco Esquinas,Piña colada,0
574,Cinco Esquinas,Pipián relleno con camarones,0
575,Cinco Esquinas,pizza,0
576,Cinco Esquinas,pizzero,0
577,Cinco Esquinas,Plantain tart,0
578,Cinco Esquinas,Plátano frito,0
579,Cinco Esquinas,plátano maduro y verde,0
580,Cinco Esquinas,Plátanos a la gloria,0
581,Cinco Esquinas,poke,0
582,Cinco Esquinas,pokes,0
583,Cinco Esquinas,pollo,5
584,Cinco Esquinas,Pollo achiotado,0
585,Cinco Esquinas,Pollo achiotado al horno,0
586,Cinco Esquinas,pollo al curry,0
587,Cinco Esquinas,Pollo arreglado,0
588,Cinco Esquinas,Pollo asado,0
589,Cinco Esquinas,Pollo enjarrado,0
